quant.enable_rotation,quant.enable_reorder,quant.enable_smooth,quant.smooth.enable_xw,quant.smooth.enable_yx,quant.wgts.enable_calib_range,word_perplexity,folder
True,False,True,True,False,False,5.859731819591835,/scale/cal/home/jychoi/model/qserve_checkpoints/llm/llama2/llama2-7b/w.3-x.16-y.16/w.zint3-x.fp16-y.fp16/w.g32.fp16-x.tnsr.fp16-y.tnsr.fp16/rot-smooth.xw-w.static.kernel/krnl-rot-smth.xw.GridSearch.b0.[AbsMax]-pileval.128x1024.[0-0]-241120.230612
True,False,False,False,False,False,5.911069967019373,/scale/cal/home/jychoi/model/qserve_checkpoints/llm/llama2/llama2-7b/w.3-x.16-y.16/w.zint3-x.fp16-y.fp16/w.g32.fp16-x.tnsr.fp16-y.tnsr.fp16/rot-w.static.kernel/krnl-rot-pileval.128x1024.[0-0]-241121.010026
True,True,True,True,True,True,5.9158741383219775,/scale/cal/home/jychoi/model/qserve_checkpoints/llm/llama2/llama2-7b/w.3-x.16-y.16/w.zint3-x.fp16-y.fp16/w.g32.fp16-x.tnsr.fp16-y.tnsr.fp16/rot-reorder-smooth.xw.yx-w.static.kernel.orange/krnl-rot-rodr.Seq.[fc2]-smth.xw.GridSearch.b0.[AbsMax].yx.a0p5.b0.[AbsMax].[qk]-w.range.ProductsError.[0p8.1.g20].skip.[qkv]-pileval.128x1024.[0-0]-241120.165928
False,False,True,True,True,False,5.839161940096836,/scale/cal/home/jychoi/model/qserve_checkpoints/llm/llama2/llama2-7b/w.3-x.16-y.16/w.zint3-x.fp16-y.fp16/w.g32.fp16-x.tnsr.fp16-y.tnsr.fp16/smooth.xw.yx-w.static.kernel/krnl-smth.xw.GridSearch.b0.[AbsMax].yx.a0p5.b0.[AbsMax].[qk]-pileval.128x1024.[0-0]-241121.064914
True,False,True,False,True,False,5.907999176178037,/scale/cal/home/jychoi/model/qserve_checkpoints/llm/llama2/llama2-7b/w.3-x.16-y.16/w.zint3-x.fp16-y.fp16/w.g32.fp16-x.tnsr.fp16-y.tnsr.fp16/rot-smooth.yx-w.static.kernel/krnl-rot-smth.yx.a0p5.b0.[AbsMax].[qk]-pileval.128x1024.[0-0]-241121.000533
True,True,False,False,False,False,5.906649209600926,/scale/cal/home/jychoi/model/qserve_checkpoints/llm/llama2/llama2-7b/w.3-x.16-y.16/w.zint3-x.fp16-y.fp16/w.g32.fp16-x.tnsr.fp16-y.tnsr.fp16/rot-reorder-w.static.kernel/krnl-rot-rodr.Seq.[fc2]-pileval.128x1024.[0-0]-241120.203101
False,False,True,True,False,False,5.821231992387867,/scale/cal/home/jychoi/model/qserve_checkpoints/llm/llama2/llama2-7b/w.3-x.16-y.16/w.zint3-x.fp16-y.fp16/w.g32.fp16-x.tnsr.fp16-y.tnsr.fp16/smooth.xw-w.static.kernel/krnl-smth.xw.GridSearch.b0.[AbsMax]-pileval.128x1024.[0-0]-241121.080025
True,False,True,True,True,False,5.873832610339865,/scale/cal/home/jychoi/model/qserve_checkpoints/llm/llama2/llama2-7b/w.3-x.16-y.16/w.zint3-x.fp16-y.fp16/w.g32.fp16-x.tnsr.fp16-y.tnsr.fp16/rot-smooth.xw.yx-w.static.kernel/krnl-rot-smth.xw.GridSearch.b0.[AbsMax].yx.a0p5.b0.[AbsMax].[qk]-pileval.128x1024.[0-0]-241120.215003
False,True,True,False,True,True,5.933451894367964,/scale/cal/home/jychoi/model/qserve_checkpoints/llm/llama2/llama2-7b/w.3-x.16-y.16/w.zint3-x.fp16-y.fp16/w.g32.fp16-x.tnsr.fp16-y.tnsr.fp16/reorder-smooth.yx-w.static.kernel.orange/krnl-rodr.Seq.[fc2]-smth.yx.a0p5.b0.[AbsMax].[qk]-w.range.ProductsError.[0p8.1.g20].skip.[qkv]-pileval.128x1024.[0-0]-241121.035831
False,False,False,False,False,False,5.950727886792078,/scale/cal/home/jychoi/model/qserve_checkpoints/llm/llama2/llama2-7b/w.3-x.16-y.16/w.zint3-x.fp16-y.fp16/w.g32.fp16-x.tnsr.fp16-y.tnsr.fp16/w.static.kernel/krnl-pileval.128x1024.[0-0]-241121.095811
