quant.enable_rotation,quant.enable_reorder,quant.enable_smooth,quant.smooth.enable_xw,quant.smooth.enable_yx,quant.wgts.enable_calib_range,word_perplexity,folder
True,False,True,True,False,False,8.158857655935357,/scale/cal/home/jychoi/model/qserve_checkpoints/llm/llama2/llama2-7b/w.2-x.16-y.16/w.zint2-x.fp16-y.fp16/w.g16.fp16-x.tnsr.fp16-y.tnsr.fp16/rot-smooth.xw-w.static.kernel/krnl-rot-smth.xw.GridSearch.b0.[AbsMax]-pileval.128x1024.[0-0]-241122.184432
True,False,False,False,False,False,10.846293348749825,/scale/cal/home/jychoi/model/qserve_checkpoints/llm/llama2/llama2-7b/w.2-x.16-y.16/w.zint2-x.fp16-y.fp16/w.g16.fp16-x.tnsr.fp16-y.tnsr.fp16/rot-w.static.kernel/krnl-rot-pileval.128x1024.[0-0]-241122.203935
True,True,True,True,True,True,7.92671979851213,/scale/cal/home/jychoi/model/qserve_checkpoints/llm/llama2/llama2-7b/w.2-x.16-y.16/w.zint2-x.fp16-y.fp16/w.g16.fp16-x.tnsr.fp16-y.tnsr.fp16/rot-reorder-smooth.xw.yx-w.static.kernel.orange/krnl-rot-rodr.Seq.[fc2]-smth.xw.GridSearch.b0.[AbsMax].yx.a0p5.b0.[AbsMax].[qk]-w.range.ProductsError.[0p8.1.g20].skip.[qkv]-pileval.128x1024.[0-0]-241122.131909
False,False,True,True,True,False,7.84695898432902,/scale/cal/home/jychoi/model/qserve_checkpoints/llm/llama2/llama2-7b/w.2-x.16-y.16/w.zint2-x.fp16-y.fp16/w.g16.fp16-x.tnsr.fp16-y.tnsr.fp16/smooth.xw.yx-w.static.kernel/krnl-smth.xw.GridSearch.b0.[AbsMax].yx.a0p5.b0.[AbsMax].[qk]-pileval.128x1024.[0-0]-241123.025612
True,False,True,False,True,False,11.046026391664196,/scale/cal/home/jychoi/model/qserve_checkpoints/llm/llama2/llama2-7b/w.2-x.16-y.16/w.zint2-x.fp16-y.fp16/w.g16.fp16-x.tnsr.fp16-y.tnsr.fp16/rot-smooth.yx-w.static.kernel/krnl-rot-smth.yx.a0p5.b0.[AbsMax].[qk]-pileval.128x1024.[0-0]-241122.194403
True,True,False,False,False,False,9.786859988608821,/scale/cal/home/jychoi/model/qserve_checkpoints/llm/llama2/llama2-7b/w.2-x.16-y.16/w.zint2-x.fp16-y.fp16/w.g16.fp16-x.tnsr.fp16-y.tnsr.fp16/rot-reorder-w.static.kernel/krnl-rot-rodr.Seq.[fc2]-pileval.128x1024.[0-0]-241122.160539
False,False,True,True,False,False,7.832577775670505,/scale/cal/home/jychoi/model/qserve_checkpoints/llm/llama2/llama2-7b/w.2-x.16-y.16/w.zint2-x.fp16-y.fp16/w.g16.fp16-x.tnsr.fp16-y.tnsr.fp16/smooth.xw-w.static.kernel/krnl-smth.xw.GridSearch.b0.[AbsMax]-pileval.128x1024.[0-0]-241123.041535
True,False,True,True,True,False,8.15609396188419,/scale/cal/home/jychoi/model/qserve_checkpoints/llm/llama2/llama2-7b/w.2-x.16-y.16/w.zint2-x.fp16-y.fp16/w.g16.fp16-x.tnsr.fp16-y.tnsr.fp16/rot-smooth.xw.yx-w.static.kernel/krnl-rot-smth.xw.GridSearch.b0.[AbsMax].yx.a0p5.b0.[AbsMax].[qk]-pileval.128x1024.[0-0]-241122.172816
False,True,True,False,True,True,10.320379287147913,/scale/cal/home/jychoi/model/qserve_checkpoints/llm/llama2/llama2-7b/w.2-x.16-y.16/w.zint2-x.fp16-y.fp16/w.g16.fp16-x.tnsr.fp16-y.tnsr.fp16/reorder-smooth.yx-w.static.kernel.orange/krnl-rodr.Seq.[fc2]-smth.yx.a0p5.b0.[AbsMax].[qk]-w.range.ProductsError.[0p8.1.g20].skip.[qkv]-pileval.128x1024.[0-0]-241122.234825
False,False,False,False,False,False,20.621024438287023,/scale/cal/home/jychoi/model/qserve_checkpoints/llm/llama2/llama2-7b/w.2-x.16-y.16/w.zint2-x.fp16-y.fp16/w.g16.fp16-x.tnsr.fp16-y.tnsr.fp16/w.static.kernel/krnl-pileval.128x1024.[0-0]-241123.060836
True,True,True,False,True,True,8.461806273291655,/scale/cal/home/jychoi/model/qserve_checkpoints/llm/llama2/llama2-7b/w.2-x.16-y.16/w.zint2-x.fp16-y.fp16/w.g16.fp16-x.tnsr.fp16-y.tnsr.fp16/rot-reorder-smooth.yx-w.static.kernel.orange/krnl-rot-rodr.Seq.[fc2]-smth.yx.a0p5.b0.[AbsMax].[qk]-w.range.ProductsError.[0p8.1.g20].skip.[qkv]-pileval.128x1024.[0-0]-241122.145337
True,True,True,True,True,False,9.14499966191135,/scale/cal/home/jychoi/model/qserve_checkpoints/llm/llama2/llama2-7b/w.2-x.16-y.16/w.zint2-x.fp16-y.fp16/w.g16.fp16-x.tnsr.fp16-y.tnsr.fp16/rot-reorder-smooth.xw.yx-w.static.kernel/krnl-rot-rodr.Seq.[fc2]-smth.xw.GridSearch.b0.[AbsMax].yx.a0p5.b0.[AbsMax].[qk]-pileval.128x1024.[0-0]-241122.134308
False,True,False,False,False,False,13.248577652132422,/scale/cal/home/jychoi/model/qserve_checkpoints/llm/llama2/llama2-7b/w.2-x.16-y.16/w.zint2-x.fp16-y.fp16/w.g16.fp16-x.tnsr.fp16-y.tnsr.fp16/reorder-w.static.kernel/krnl-rodr.Seq.[fc2]-pileval.128x1024.[0-0]-241123.013406
True,True,True,True,False,True,7.952856329103091,/scale/cal/home/jychoi/model/qserve_checkpoints/llm/llama2/llama2-7b/w.2-x.16-y.16/w.zint2-x.fp16-y.fp16/w.g16.fp16-x.tnsr.fp16-y.tnsr.fp16/rot-reorder-smooth.xw-w.static.kernel.orange/krnl-rot-rodr.Seq.[fc2]-smth.xw.GridSearch.b0.[AbsMax]-w.range.ProductsError.[0p8.1.g20].skip.[qkv]-pileval.128x1024.[0-0]-241122.140758
True,False,False,False,False,True,8.37340055932891,/scale/cal/home/jychoi/model/qserve_checkpoints/llm/llama2/llama2-7b/w.2-x.16-y.16/w.zint2-x.fp16-y.fp16/w.g16.fp16-x.tnsr.fp16-y.tnsr.fp16/rot-w.static.kernel.orange/krnl-rot-w.range.ProductsError.[0p8.1.g20].skip.[qkv]-pileval.128x1024.[0-0]-241122.200407
False,False,True,False,True,True,10.871183262395082,/scale/cal/home/jychoi/model/qserve_checkpoints/llm/llama2/llama2-7b/w.2-x.16-y.16/w.zint2-x.fp16-y.fp16/w.g16.fp16-x.tnsr.fp16-y.tnsr.fp16/smooth.yx-w.static.kernel.orange/krnl-smth.yx.a0p5.b0.[AbsMax].[qk]-w.range.ProductsError.[0p8.1.g20].skip.[qkv]-pileval.128x1024.[0-0]-241123.043502
